% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	464.31	0
0.322	1	0	2	618.187	0
0.323	1	0	3	279.783	0
0.324	1	0	4	314.702	0
0.325	1	0	5	516.469	0
0.326	1	0	6	870.047	0
0.327	1	0	7	136.698	0
0.328	1	0	8	207.207	0
0.329	1	0	9	688.435	0
0.33	1	0	10	637.574	0
0.331	1	0	11	738.08	0
0.332	1	0	12	1557.65	0
0.641	1	0	1	463.091	0
0.642	1	0	2	619.12	0
0.643	1	0	3	279.952	0
0.644	1	0	4	313.819	0
0.645	1	0	5	515.8	0
0.646	1	0	6	867.619	0
0.647	1	0	7	136.819	0
0.648	1	0	8	207.363	0
0.649	1	0	9	690.229	0
0.65	1	0	10	639.154	0
0.651	1	0	11	740.855	0
0.652	1	0	12	1550.51	0
0.961	1	0	1	461.876	0
0.962	1	0	2	620.053	0
0.963	1	0	3	280.12	0
0.964	1	0	4	312.939	0
0.965	1	0	5	515.128	0
0.966	1	0	6	865.199	0
0.967	1	0	7	136.94	0
0.968	1	0	8	207.519	0
0.969	1	0	9	692.025	0
0.97	1	0	10	640.738	0
0.971	1	0	11	743.642	0
0.972	1	0	12	1543.41	0
1.281	1	0	1	460.663	0
1.282	1	0	2	620.987	0
1.283	1	0	3	280.287	0
1.284	1	0	4	312.063	0
1.285	1	0	5	514.452	0
1.286	1	0	6	862.787	0
1.287	1	0	7	137.061	0
1.288	1	0	8	207.674	0
1.289	1	0	9	693.824	0
1.29	1	0	10	642.327	0
1.291	1	0	11	746.442	0
1.292	1	0	12	1536.35	0
1.601	1	0	1	459.453	0
1.602	1	0	2	621.921	0
1.603	1	0	3	280.453	0
1.604	1	0	4	311.19	0
1.605	1	0	5	513.774	0
1.606	1	0	6	860.382	0
1.607	1	0	7	137.182	0
1.608	1	0	8	207.83	0
1.609	1	0	9	695.626	0
1.61	1	0	10	643.921	0
1.611	1	0	11	749.254	0
1.612	1	0	12	1529.33	0
1.921	1	0	1	458.246	0
1.922	1	0	2	622.856	0
1.923	1	0	3	280.619	0
1.924	1	0	4	310.32	0
1.925	1	0	5	513.092	0
1.926	1	0	6	857.986	0
1.927	1	0	7	137.303	0
1.928	1	0	8	207.985	0
1.929	1	0	9	697.43	0
1.93	1	0	10	645.519	0
1.931	1	0	11	752.079	0
1.932	1	0	12	1522.36	0
