DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112821	11	2	3	1	3	2	1	0	15	0	0	2.6094	0	0
DL	0.112821	11	2	3	1	3	5	1	0	15	0	0	3.54588	0	0
DL	0.112875	11	2	3	4	3	2	2	0	15	0	0	7.61662	0	0
DL	0.112875	11	2	3	4	3	5	2	0	15	0	0	17.2824	0	0
DL	0.112911	11	2	3	7	2	2	3	0	9	0	0	3.41418	0	0
DL	0.112929	11	2	3	7	3	5	4	0	15	0	0	-2.77455	0	2.39932e-10
DL	0.112946	11	2	3	9	2	2	4	0	9	0	0	6.94568	0	0
DL	0.112982	11	2	3	1	12	3	4	0	70	0	0	-6.02432	0	0.00451772
DL	0.112982	11	2	3	10	3	5	5	0	15	0	0	0.478617	0	0
DL	0.112982	11	2	3	11	2	2	5	0	9	0	0	-1.20399	0	1.02276e-06
DL	0.113071	11	3	0	1	3	5	1	0	15	0	0	3.55478	0	0
DL	0.113071	11	3	0	1	3	2	3	0	15	0	0	3.3625	0	0
DL	0.113125	11	3	0	4	3	5	2	0	15	0	0	17.345	0	0
DL	0.113125	11	3	0	4	3	2	4	0	15	0	0	6.97497	0	0
DL	0.113161	11	3	0	7	2	2	5	0	9	0	0	-1.42346	0	8.04216e-06
DL	0.113179	11	3	0	7	3	5	4	0	15	0	0	-2.88122	0	8.03462e-10
DL	0.113196	11	3	0	9	2	2	1	0	9	0	0	4.61224	0	0
DL	0.113232	11	3	0	1	12	3	4	0	70	0	0	-6.02995	0	0.00544262
DL	0.113232	11	3	0	10	3	5	5	0	15	0	0	0.544576	0	0
DL	0.113232	11	3	0	11	2	2	2	0	9	0	0	7.65596	0	0
DL	0.113321	11	3	1	1	3	5	1	0	15	0	0	3.56706	0	0
DL	0.113321	11	3	1	1	3	2	5	0	15	0	0	-1.56323	0	0
DL	0.113375	11	3	1	4	3	5	2	0	15	0	0	17.2151	0	0
DL	0.113375	11	3	1	4	3	2	1	0	15	0	0	2.58998	0	0
DL	0.113411	11	3	1	7	2	2	2	0	9	0	0	7.50257	0	0
DL	0.113429	11	3	1	7	3	5	4	0	15	0	0	-2.85813	0	4.84798e-10
DL	0.113446	11	3	1	9	2	2	3	0	9	0	0	3.29539	0	0
DL	0.113482	11	3	1	1	12	3	4	0	70	0	0	-6.04138	0	0.00588254
DL	0.113482	11	3	1	10	3	5	5	0	15	0	0	0.567557	0	0
DL	0.113482	11	3	1	11	2	2	4	0	9	0	0	6.85819	0	0
DL	0.113571	11	3	2	1	3	5	1	0	98	8	0	4.36676	0	5.4956e-15
DL	0.113571	11	3	2	1	3	2	2	0	167	12	0	7.49871	0	6.05627e-14
DL	0.113625	11	3	2	4	3	5	2	0	447	22	0	17.3282	0	1.43322e-05
DL	0.113625	11	3	2	4	3	2	3	0	98	8	0	3.34648	0	0.00202709
DL	0.113661	11	3	2	7	2	2	4	0	110	12	0	6.76006	0	0.00173786
DL	0.113679	11	3	2	7	3	5	4	0	22	2	0	-2.97901	0	7.14997e-05
DL	0.113696	11	3	2	9	2	2	5	0	26	4	0	-1.10251	0	0.0254328
DL	0.113732	11	3	2	10	3	5	5	0	40	4	0	0.556451	0	1.43726e-10
DL	0.113732	11	3	2	11	2	2	1	0	43	6	0	6.1555	0	0
DL	0.113821	11	3	3	1	3	5	1	0	98	8	0	4.25286	0	1.94289e-14
DL	0.113821	11	3	3	1	3	2	4	0	167	12	0	6.68554	0	7.22618e-06
DL	0.113875	11	3	3	4	3	5	2	0	447	22	0	17.3095	0	3.30072e-05
DL	0.113875	11	3	3	4	3	2	5	0	22	2	0	-1.1736	0	5.55112e-16
DL	0.113911	11	3	3	7	2	2	1	0	64	8	0	2.81022	0	0.667108
DL	0.113929	11	3	3	7	3	5	4	0	22	2	0	-3.09167	0	0.000159712
DL	0.113946	11	3	3	9	2	2	2	0	110	12	0	7.35918	0	1.62645e-06
DL	0.113982	11	3	3	10	3	5	5	0	66	6	0	0.460838	0	0.00886294
DL	0.113982	11	3	3	11	2	2	3	0	64	8	0	3.39634	0	0.000871245
DL	0.114071	11	4	0	1	3	5	1	0	98	8	0	4.39985	0	1.60982e-15
DL	0.114071	11	4	0	1	3	2	1	0	66	6	0	2.82609	0	1.736e-12
DL	0.114125	11	4	0	4	3	5	2	0	447	22	0	17.3285	0	3.70778e-05
DL	0.114125	11	4	0	4	3	2	2	0	167	12	0	7.24864	0	4.36512e-12
DL	0.114161	11	4	0	7	2	2	3	0	64	8	0	3.41571	0	0.000808852
DL	0.114179	11	4	0	7	3	5	4	0	22	2	0	-3.12665	0	0.000183189
DL	0.114196	11	4	0	9	2	2	4	0	110	12	0	6.69934	0	0.00529025
DL	0.114232	11	4	0	10	3	5	5	0	66	6	0	0.344225	0	0.0258064
DL	0.114232	11	4	0	11	2	2	5	0	13	2	0	-1.20172	0	1.14778e-10
DL	0.114321	11	4	1	1	3	5	1	0	98	8	0	4.34924	0	2.44249e-15
DL	0.114321	11	4	1	1	3	2	3	0	98	8	0	3.34473	0	0.00129657
DL	0.114375	11	4	1	4	3	5	2	0	447	22	0	17.208	0	0.00014282
DL	0.114375	11	4	1	4	3	2	4	0	167	12	0	6.61133	0	8.34432e-05
DL	0.114411	11	4	1	7	2	2	5	0	26	4	0	-1.29082	0	0.0397112
DL	0.114429	11	4	1	7	3	5	4	0	22	2	0	-3.34589	0	0.0008868
DL	0.114446	11	4	1	9	2	2	1	0	89	10	0	4.81155	1	0.51073
DL	0.114482	11	4	1	10	3	5	5	0	66	6	0	0.356404	0	0.0204113
DL	0.114482	11	4	1	11	2	2	2	0	110	12	0	7.421	0	8.65845e-07
DL	0.114571	11	4	2	1	3	5	1	0	98	8	0	4.44314	0	4.44089e-16
DL	0.114571	11	4	2	1	3	2	5	0	40	4	0	-1.18392	0	0.00295289
